scenario_id,condition,generated_at,is_valid,invalid_reason,compliance_mL_per_cmH2O,resistance_cmH2O_L_s,respiratory_rate,tidal_volume_mL,tidal_volume_mL_per_kg,ie_ratio,peep_cmH2O,flow_pattern,ppeak_cmH2O,pplat_cmH2O,driving_p_cmH2O,mean_paw_cmH2O,auto_peep_cmH2O,delivered_vt_mL,minute_vent_L
VCV_MildARDS_C040_R005_VT06_RR024_PEEP20_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.846359+00:00,True,,40.0,5.0,24,420.0,6.0,0.33,20,decelerating,31.81,30.66,10.66,23.49,0.0,413.03,9.913
VCV_MildARDS_C040_R005_VT06_RR030_PEEP00_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.846742+00:00,True,,40.0,5.0,30,420.0,6.0,1.0,0,square,12.67,10.5,10.5,4.63,0.07,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP00_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.847126+00:00,True,,40.0,5.0,30,420.0,6.0,1.0,0,decelerating,11.12,10.61,10.61,5.43,0.08,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP00_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.847520+00:00,True,,40.0,5.0,30,420.0,6.0,0.5,0,square,13.72,10.55,10.55,3.86,0.01,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP00_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.847912+00:00,True,,40.0,5.0,30,420.0,6.0,0.5,0,decelerating,11.71,10.71,10.71,4.43,0.01,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP00_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.848305+00:00,True,,40.0,5.0,30,420.0,6.0,0.33,0,square,14.82,10.58,10.58,3.47,0.01,414.72,12.442
VCV_MildARDS_C040_R005_VT06_RR030_PEEP00_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.848698+00:00,True,,40.0,5.0,30,420.0,6.0,0.33,0,decelerating,12.57,10.79,10.79,3.93,0.01,414.72,12.442
VCV_MildARDS_C040_R005_VT06_RR030_PEEP08_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.849080+00:00,True,,40.0,5.0,30,420.0,6.0,1.0,8,square,20.67,18.5,10.5,12.63,0.07,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP08_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.849464+00:00,True,,40.0,5.0,30,420.0,6.0,1.0,8,decelerating,19.12,18.61,10.61,13.43,0.08,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP08_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.849857+00:00,True,,40.0,5.0,30,420.0,6.0,0.5,8,square,21.72,18.55,10.55,11.86,0.01,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP08_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.850252+00:00,True,,40.0,5.0,30,420.0,6.0,0.5,8,decelerating,19.71,18.71,10.71,12.43,0.01,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP08_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.850647+00:00,True,,40.0,5.0,30,420.0,6.0,0.33,8,square,22.82,18.58,10.58,11.47,0.01,414.72,12.442
VCV_MildARDS_C040_R005_VT06_RR030_PEEP08_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.851039+00:00,True,,40.0,5.0,30,420.0,6.0,0.33,8,decelerating,20.57,18.79,10.79,11.93,0.01,414.72,12.442
VCV_MildARDS_C040_R005_VT06_RR030_PEEP16_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.851426+00:00,True,,40.0,5.0,30,420.0,6.0,1.0,16,square,28.67,26.5,10.5,20.63,0.07,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP16_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.851808+00:00,True,,40.0,5.0,30,420.0,6.0,1.0,16,decelerating,27.12,26.61,10.61,21.43,0.08,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP16_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.852198+00:00,True,,40.0,5.0,30,420.0,6.0,0.5,16,square,29.72,26.55,10.55,19.86,0.01,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP16_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.852589+00:00,True,,40.0,5.0,30,420.0,6.0,0.5,16,decelerating,27.71,26.71,10.71,20.43,0.01,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP16_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.852984+00:00,True,,40.0,5.0,30,420.0,6.0,0.33,16,square,30.82,26.58,10.58,19.47,0.01,414.72,12.442
VCV_MildARDS_C040_R005_VT06_RR030_PEEP16_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.853381+00:00,True,,40.0,5.0,30,420.0,6.0,0.33,16,decelerating,28.57,26.79,10.79,19.93,0.01,414.72,12.442
VCV_MildARDS_C040_R005_VT06_RR030_PEEP20_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.853768+00:00,True,,40.0,5.0,30,420.0,6.0,1.0,20,square,32.67,30.5,10.5,24.63,0.07,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP20_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.854155+00:00,True,,40.0,5.0,30,420.0,6.0,1.0,20,decelerating,31.12,30.61,10.61,25.43,0.08,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP20_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.854551+00:00,True,,40.0,5.0,30,420.0,6.0,0.5,20,square,33.72,30.55,10.55,23.86,0.01,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP20_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.854946+00:00,True,,40.0,5.0,30,420.0,6.0,0.5,20,decelerating,31.71,30.71,10.71,24.43,0.01,415.8,12.474
VCV_MildARDS_C040_R005_VT06_RR030_PEEP20_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.855341+00:00,True,,40.0,5.0,30,420.0,6.0,0.33,20,square,34.82,30.58,10.58,23.47,0.01,414.72,12.442
VCV_MildARDS_C040_R005_VT06_RR030_PEEP20_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.855737+00:00,True,,40.0,5.0,30,420.0,6.0,0.33,20,decelerating,32.57,30.79,10.79,23.93,0.01,414.72,12.442
VCV_MildARDS_C040_R005_VT10_RR008_PEEP00_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.856204+00:00,True,,40.0,5.0,8,700.0,10.0,1.0,0,square,18.43,17.5,17.5,5.34,0.0,698.13,5.585
VCV_MildARDS_C040_R005_VT10_RR008_PEEP00_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.856667+00:00,True,,40.0,5.0,8,700.0,10.0,1.0,0,decelerating,17.6,17.55,17.55,6.76,0.0,698.13,5.585
VCV_MildARDS_C040_R005_VT10_RR008_PEEP00_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.857136+00:00,True,,40.0,5.0,8,700.0,10.0,0.5,0,square,18.9,17.5,17.5,3.94,0.0,697.2,5.578
VCV_MildARDS_C040_R005_VT10_RR008_PEEP00_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.857606+00:00,True,,40.0,5.0,8,700.0,10.0,0.5,0,decelerating,17.69,17.57,17.57,4.89,0.0,697.2,5.578
VCV_MildARDS_C040_R005_VT10_RR008_PEEP00_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.858084+00:00,True,,40.0,5.0,8,700.0,10.0,0.33,0,square,19.37,17.49,17.49,3.22,0.0,695.9,5.567
VCV_MildARDS_C040_R005_VT10_RR008_PEEP00_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.858568+00:00,True,,40.0,5.0,8,700.0,10.0,0.33,0,decelerating,17.8,17.59,17.59,3.93,0.0,695.9,5.567
VCV_MildARDS_C040_R005_VT10_RR008_PEEP08_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.859025+00:00,True,,40.0,5.0,8,700.0,10.0,1.0,8,square,26.43,25.5,17.5,13.34,0.0,698.13,5.585
VCV_MildARDS_C040_R005_VT10_RR008_PEEP08_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.859483+00:00,True,,40.0,5.0,8,700.0,10.0,1.0,8,decelerating,25.6,25.55,17.55,14.76,0.0,698.13,5.585
VCV_MildARDS_C040_R005_VT10_RR008_PEEP08_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.859949+00:00,True,,40.0,5.0,8,700.0,10.0,0.5,8,square,26.9,25.5,17.5,11.94,0.0,697.2,5.578
VCV_MildARDS_C040_R005_VT10_RR008_PEEP08_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.860418+00:00,True,,40.0,5.0,8,700.0,10.0,0.5,8,decelerating,25.69,25.57,17.57,12.89,0.0,697.2,5.578
VCV_MildARDS_C040_R005_VT10_RR008_PEEP08_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.860896+00:00,True,,40.0,5.0,8,700.0,10.0,0.33,8,square,27.37,25.49,17.49,11.22,0.0,695.9,5.567
VCV_MildARDS_C040_R005_VT10_RR008_PEEP08_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.861386+00:00,True,,40.0,5.0,8,700.0,10.0,0.33,8,decelerating,25.8,25.59,17.59,11.93,0.0,695.9,5.567
VCV_MildARDS_C040_R005_VT10_RR008_PEEP16_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.861846+00:00,True,,40.0,5.0,8,700.0,10.0,1.0,16,square,34.43,33.5,17.5,21.34,0.0,698.13,5.585
VCV_MildARDS_C040_R005_VT10_RR008_PEEP16_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.862307+00:00,True,,40.0,5.0,8,700.0,10.0,1.0,16,decelerating,33.6,33.55,17.55,22.76,0.0,698.13,5.585
VCV_MildARDS_C040_R005_VT10_RR008_PEEP16_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.862775+00:00,True,,40.0,5.0,8,700.0,10.0,0.5,16,square,34.9,33.5,17.5,19.94,0.0,697.2,5.578
VCV_MildARDS_C040_R005_VT10_RR008_PEEP16_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.863243+00:00,True,,40.0,5.0,8,700.0,10.0,0.5,16,decelerating,33.69,33.57,17.57,20.89,0.0,697.2,5.578
VCV_MildARDS_C040_R005_VT10_RR008_PEEP16_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.863721+00:00,True,,40.0,5.0,8,700.0,10.0,0.33,16,square,35.37,33.49,17.49,19.22,0.0,695.9,5.567
VCV_MildARDS_C040_R005_VT10_RR008_PEEP16_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.864203+00:00,True,,40.0,5.0,8,700.0,10.0,0.33,16,decelerating,33.8,33.59,17.59,19.93,0.0,695.9,5.567
VCV_MildARDS_C040_R005_VT10_RR008_PEEP20_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.864663+00:00,True,,40.0,5.0,8,700.0,10.0,1.0,20,square,38.43,37.5,17.5,25.34,0.0,698.13,5.585
VCV_MildARDS_C040_R005_VT10_RR008_PEEP20_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.865123+00:00,True,,40.0,5.0,8,700.0,10.0,1.0,20,decelerating,37.6,37.55,17.55,26.76,0.0,698.13,5.585
VCV_MildARDS_C040_R005_VT10_RR008_PEEP20_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.865605+00:00,True,,40.0,5.0,8,700.0,10.0,0.5,20,square,38.9,37.5,17.5,23.94,0.0,697.2,5.578
VCV_MildARDS_C040_R005_VT10_RR008_PEEP20_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.866077+00:00,True,,40.0,5.0,8,700.0,10.0,0.5,20,decelerating,37.69,37.57,17.57,24.89,0.0,697.2,5.578
VCV_MildARDS_C040_R005_VT10_RR008_PEEP20_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.866557+00:00,True,,40.0,5.0,8,700.0,10.0,0.33,20,square,39.37,37.49,17.49,23.22,0.0,695.9,5.567
VCV_MildARDS_C040_R005_VT10_RR008_PEEP20_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.867037+00:00,True,,40.0,5.0,8,700.0,10.0,0.33,20,decelerating,37.8,37.59,17.59,23.93,0.0,695.9,5.567
VCV_MildARDS_C040_R005_VT10_RR016_PEEP00_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.867454+00:00,True,,40.0,5.0,16,700.0,10.0,1.0,0,square,19.41,17.55,17.55,6.25,0.0,698.13,11.17
VCV_MildARDS_C040_R005_VT10_RR016_PEEP00_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.867870+00:00,True,,40.0,5.0,16,700.0,10.0,1.0,0,decelerating,17.85,17.64,17.64,7.63,0.0,698.13,11.17
VCV_MildARDS_C040_R005_VT10_RR016_PEEP00_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.868285+00:00,True,,40.0,5.0,16,700.0,10.0,0.5,0,square,20.3,17.5,17.5,4.88,0.0,694.4,11.11
VCV_MildARDS_C040_R005_VT10_RR016_PEEP00_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.868700+00:00,True,,40.0,5.0,16,700.0,10.0,0.5,0,decelerating,18.11,17.64,17.64,5.82,0.0,694.4,11.11
VCV_MildARDS_C040_R005_VT10_RR016_PEEP00_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.869117+00:00,True,,40.0,5.0,16,700.0,10.0,0.33,0,square,21.25,17.49,17.49,4.19,0.0,692.14,11.074
VCV_MildARDS_C040_R005_VT10_RR016_PEEP00_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.869532+00:00,True,,40.0,5.0,16,700.0,10.0,0.33,0,decelerating,18.53,17.68,17.68,4.9,0.0,692.14,11.074
VCV_MildARDS_C040_R005_VT10_RR016_PEEP08_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.869945+00:00,True,,40.0,5.0,16,700.0,10.0,1.0,8,square,27.41,25.55,17.55,14.25,0.0,698.13,11.17
VCV_MildARDS_C040_R005_VT10_RR016_PEEP08_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.870358+00:00,True,,40.0,5.0,16,700.0,10.0,1.0,8,decelerating,25.85,25.64,17.64,15.63,0.0,698.13,11.17
VCV_MildARDS_C040_R005_VT10_RR016_PEEP08_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.870773+00:00,True,,40.0,5.0,16,700.0,10.0,0.5,8,square,28.3,25.5,17.5,12.88,0.0,694.4,11.11
VCV_MildARDS_C040_R005_VT10_RR016_PEEP08_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.871194+00:00,True,,40.0,5.0,16,700.0,10.0,0.5,8,decelerating,26.11,25.64,17.64,13.82,0.0,694.4,11.11
VCV_MildARDS_C040_R005_VT10_RR016_PEEP08_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.871609+00:00,True,,40.0,5.0,16,700.0,10.0,0.33,8,square,29.25,25.49,17.49,12.19,0.0,692.14,11.074
VCV_MildARDS_C040_R005_VT10_RR016_PEEP08_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.872024+00:00,True,,40.0,5.0,16,700.0,10.0,0.33,8,decelerating,26.53,25.68,17.68,12.9,0.0,692.14,11.074
VCV_MildARDS_C040_R005_VT10_RR016_PEEP16_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.872439+00:00,True,,40.0,5.0,16,700.0,10.0,1.0,16,square,35.41,33.55,17.55,22.25,0.0,698.13,11.17
VCV_MildARDS_C040_R005_VT10_RR016_PEEP16_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.872852+00:00,True,,40.0,5.0,16,700.0,10.0,1.0,16,decelerating,33.85,33.64,17.64,23.63,0.0,698.13,11.17
VCV_MildARDS_C040_R005_VT10_RR016_PEEP16_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.873267+00:00,True,,40.0,5.0,16,700.0,10.0,0.5,16,square,36.3,33.5,17.5,20.88,0.0,694.4,11.11
VCV_MildARDS_C040_R005_VT10_RR016_PEEP16_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.873680+00:00,True,,40.0,5.0,16,700.0,10.0,0.5,16,decelerating,34.11,33.64,17.64,21.82,0.0,694.4,11.11
VCV_MildARDS_C040_R005_VT10_RR016_PEEP16_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.874093+00:00,True,,40.0,5.0,16,700.0,10.0,0.33,16,square,37.25,33.49,17.49,20.19,0.0,692.14,11.074
VCV_MildARDS_C040_R005_VT10_RR016_PEEP16_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.874505+00:00,True,,40.0,5.0,16,700.0,10.0,0.33,16,decelerating,34.53,33.68,17.68,20.9,0.0,692.14,11.074
VCV_MildARDS_C040_R005_VT10_RR016_PEEP20_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.874915+00:00,True,,40.0,5.0,16,700.0,10.0,1.0,20,square,39.41,37.55,17.55,26.25,0.0,698.13,11.17
VCV_MildARDS_C040_R005_VT10_RR016_PEEP20_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.875327+00:00,True,,40.0,5.0,16,700.0,10.0,1.0,20,decelerating,37.85,37.64,17.64,27.63,0.0,698.13,11.17
VCV_MildARDS_C040_R005_VT10_RR016_PEEP20_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.875739+00:00,True,,40.0,5.0,16,700.0,10.0,0.5,20,square,40.3,37.5,17.5,24.88,0.0,694.4,11.11
VCV_MildARDS_C040_R005_VT10_RR016_PEEP20_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.876153+00:00,True,,40.0,5.0,16,700.0,10.0,0.5,20,decelerating,38.11,37.64,17.64,25.82,0.0,694.4,11.11
VCV_MildARDS_C040_R005_VT10_RR016_PEEP20_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.876566+00:00,True,,40.0,5.0,16,700.0,10.0,0.33,20,square,41.25,37.49,17.49,24.19,0.0,692.14,11.074
VCV_MildARDS_C040_R005_VT10_RR016_PEEP20_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.876979+00:00,True,,40.0,5.0,16,700.0,10.0,0.33,20,decelerating,38.53,37.68,17.68,24.9,0.0,692.14,11.074
VCV_MildARDS_C040_R005_VT10_RR024_PEEP00_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.877368+00:00,True,,40.0,5.0,24,700.0,10.0,1.0,0,square,20.34,17.5,17.5,7.08,0.04,694.4,16.666
VCV_MildARDS_C040_R005_VT10_RR024_PEEP00_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.877761+00:00,True,,40.0,5.0,24,700.0,10.0,1.0,0,decelerating,18.15,17.64,17.64,8.44,0.04,694.4,16.666
VCV_MildARDS_C040_R005_VT10_RR024_PEEP00_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.878164+00:00,True,,40.0,5.0,24,700.0,10.0,0.5,0,square,21.63,17.43,17.43,5.73,0.0,688.8,16.531
VCV_MildARDS_C040_R005_VT10_RR024_PEEP00_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.878560+00:00,True,,40.0,5.0,24,700.0,10.0,0.5,0,decelerating,18.71,17.64,17.64,6.66,0.0,688.8,16.531
VCV_MildARDS_C040_R005_VT10_RR024_PEEP00_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.878957+00:00,True,,40.0,5.0,24,700.0,10.0,0.33,0,square,23.14,17.49,17.49,5.09,0.0,688.38,16.521
VCV_MildARDS_C040_R005_VT10_RR024_PEEP00_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.879355+00:00,True,,40.0,5.0,24,700.0,10.0,0.33,0,decelerating,19.69,17.77,17.77,5.82,0.0,688.38,16.521
VCV_MildARDS_C040_R005_VT10_RR024_PEEP08_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.879740+00:00,True,,40.0,5.0,24,700.0,10.0,1.0,8,square,28.34,25.5,17.5,15.08,0.04,694.4,16.666
VCV_MildARDS_C040_R005_VT10_RR024_PEEP08_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.880124+00:00,True,,40.0,5.0,24,700.0,10.0,1.0,8,decelerating,26.15,25.64,17.64,16.44,0.04,694.4,16.666
VCV_MildARDS_C040_R005_VT10_RR024_PEEP08_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.880521+00:00,True,,40.0,5.0,24,700.0,10.0,0.5,8,square,29.63,25.43,17.43,13.73,0.0,688.8,16.531
VCV_MildARDS_C040_R005_VT10_RR024_PEEP08_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.880917+00:00,True,,40.0,5.0,24,700.0,10.0,0.5,8,decelerating,26.71,25.64,17.64,14.66,0.0,688.8,16.531
VCV_MildARDS_C040_R005_VT10_RR024_PEEP08_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.881322+00:00,True,,40.0,5.0,24,700.0,10.0,0.33,8,square,31.14,25.49,17.49,13.09,0.0,688.38,16.521
VCV_MildARDS_C040_R005_VT10_RR024_PEEP08_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.881720+00:00,True,,40.0,5.0,24,700.0,10.0,0.33,8,decelerating,27.69,25.77,17.77,13.82,0.0,688.38,16.521
VCV_MildARDS_C040_R005_VT10_RR024_PEEP16_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.882104+00:00,True,,40.0,5.0,24,700.0,10.0,1.0,16,square,36.34,33.5,17.5,23.08,0.04,694.4,16.666
VCV_MildARDS_C040_R005_VT10_RR024_PEEP16_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.882486+00:00,True,,40.0,5.0,24,700.0,10.0,1.0,16,decelerating,34.15,33.64,17.64,24.44,0.04,694.4,16.666
VCV_MildARDS_C040_R005_VT10_RR024_PEEP16_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.882881+00:00,True,,40.0,5.0,24,700.0,10.0,0.5,16,square,37.63,33.43,17.43,21.73,0.0,688.8,16.531
VCV_MildARDS_C040_R005_VT10_RR024_PEEP16_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.883277+00:00,True,,40.0,5.0,24,700.0,10.0,0.5,16,decelerating,34.71,33.64,17.64,22.66,0.0,688.8,16.531
VCV_MildARDS_C040_R005_VT10_RR024_PEEP16_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.883673+00:00,True,,40.0,5.0,24,700.0,10.0,0.33,16,square,39.14,33.49,17.49,21.09,0.0,688.38,16.521
VCV_MildARDS_C040_R005_VT10_RR024_PEEP16_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.884069+00:00,True,,40.0,5.0,24,700.0,10.0,0.33,16,decelerating,35.69,33.77,17.77,21.82,0.0,688.38,16.521
VCV_MildARDS_C040_R005_VT10_RR024_PEEP20_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.884451+00:00,True,,40.0,5.0,24,700.0,10.0,1.0,20,square,40.34,37.5,17.5,27.08,0.04,694.4,16.666
VCV_MildARDS_C040_R005_VT10_RR024_PEEP20_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.884833+00:00,True,,40.0,5.0,24,700.0,10.0,1.0,20,decelerating,38.15,37.64,17.64,28.44,0.04,694.4,16.666
VCV_MildARDS_C040_R005_VT10_RR024_PEEP20_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.885229+00:00,True,,40.0,5.0,24,700.0,10.0,0.5,20,square,41.63,37.43,17.43,25.73,0.0,688.8,16.531
VCV_MildARDS_C040_R005_VT10_RR024_PEEP20_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.885623+00:00,True,,40.0,5.0,24,700.0,10.0,0.5,20,decelerating,38.71,37.64,17.64,26.66,0.0,688.8,16.531
VCV_MildARDS_C040_R005_VT10_RR024_PEEP20_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.886019+00:00,True,,40.0,5.0,24,700.0,10.0,0.33,20,square,43.14,37.49,17.49,25.09,0.0,688.38,16.521
VCV_MildARDS_C040_R005_VT10_RR024_PEEP20_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.886415+00:00,True,,40.0,5.0,24,700.0,10.0,0.33,20,decelerating,39.69,37.77,17.77,25.82,0.0,688.38,16.521
VCV_MildARDS_C040_R005_VT10_RR030_PEEP00_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.886799+00:00,True,,40.0,5.0,30,700.0,10.0,1.0,0,square,21.12,17.5,17.5,7.71,0.12,693.0,20.79
VCV_MildARDS_C040_R005_VT10_RR030_PEEP00_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.887181+00:00,True,,40.0,5.0,30,700.0,10.0,1.0,0,decelerating,18.54,17.68,17.68,9.06,0.13,693.0,20.79
VCV_MildARDS_C040_R005_VT10_RR030_PEEP00_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.887575+00:00,True,,40.0,5.0,30,700.0,10.0,0.5,0,square,22.86,17.59,17.59,6.43,0.02,693.0,20.79
VCV_MildARDS_C040_R005_VT10_RR030_PEEP00_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.887964+00:00,True,,40.0,5.0,30,700.0,10.0,0.5,0,decelerating,19.52,17.85,17.85,7.38,0.02,693.0,20.79
VCV_MildARDS_C040_R005_VT10_RR030_PEEP00_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.888356+00:00,True,,40.0,5.0,30,700.0,10.0,0.33,0,square,24.7,17.63,17.63,5.79,0.01,691.2,20.736
VCV_MildARDS_C040_R005_VT10_RR030_PEEP00_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.888755+00:00,True,,40.0,5.0,30,700.0,10.0,0.33,0,decelerating,20.96,17.99,17.99,6.55,0.01,691.2,20.736
VCV_MildARDS_C040_R005_VT10_RR030_PEEP08_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.889134+00:00,True,,40.0,5.0,30,700.0,10.0,1.0,8,square,29.12,25.5,17.5,15.71,0.12,693.0,20.79
VCV_MildARDS_C040_R005_VT10_RR030_PEEP08_IE100_DEC,Mild ARDS,2026-05-07T05:39:47.889515+00:00,True,,40.0,5.0,30,700.0,10.0,1.0,8,decelerating,26.54,25.68,17.68,17.06,0.13,693.0,20.79
VCV_MildARDS_C040_R005_VT10_RR030_PEEP08_IE050_SQR,Mild ARDS,2026-05-07T05:39:47.889911+00:00,True,,40.0,5.0,30,700.0,10.0,0.5,8,square,30.86,25.59,17.59,14.43,0.02,693.0,20.79
VCV_MildARDS_C040_R005_VT10_RR030_PEEP08_IE050_DEC,Mild ARDS,2026-05-07T05:39:47.890306+00:00,True,,40.0,5.0,30,700.0,10.0,0.5,8,decelerating,27.52,25.85,17.85,15.38,0.02,693.0,20.79
VCV_MildARDS_C040_R005_VT10_RR030_PEEP08_IE033_SQR,Mild ARDS,2026-05-07T05:39:47.890700+00:00,True,,40.0,5.0,30,700.0,10.0,0.33,8,square,32.7,25.63,17.63,13.79,0.01,691.2,20.736
VCV_MildARDS_C040_R005_VT10_RR030_PEEP08_IE033_DEC,Mild ARDS,2026-05-07T05:39:47.891093+00:00,True,,40.0,5.0,30,700.0,10.0,0.33,8,decelerating,28.96,25.99,17.99,14.55,0.01,691.2,20.736
VCV_MildARDS_C040_R005_VT10_RR030_PEEP16_IE100_SQR,Mild ARDS,2026-05-07T05:39:47.891477+00:00,True,,40.0,5.0,30,700.0,10.0,1.0,16,square,37.12,33.5,17.5,23.71,0.12,693.0,20.79
